link,cpu,ram,hdd,ssd,graphic_ram,screen_size,stock_status,price
https://api.torob.com/v4/base-product/details-log-click/?prk=c9e081d5-cc85-4cd5-98d3-116aa2b9aba2,Celeron,4 gb,1 tb,,unified,15.6 inch,new,8300000
https://api.torob.com/v4/base-product/details-log-click/?prk=77d40cca-89d4-4d9f-ab10-d34c5a309e6e,Core i7,16 gb,,512 gb,8 gb,15.6 inch,new,56700000
https://api.torob.com/v4/base-product/details-log-click/?prk=9d7e2163-cf46-4a95-bd08-367d6fc74013,Core i5,16 gb,,512 gb,4 gb,15.6 inch,new,34469000
https://api.torob.com/v4/base-product/details-log-click/?prk=93cb2c6d-44d9-4408-8b94-a2fd6a69a8cb,Core i5,8 gb,,512 gb,4 gb,15.6 inch,new,32350000
https://api.torob.com/v4/base-product/details-log-click/?prk=a21d004e-e716-4ec8-adb7-d0e09c06d291,M1,8 gb,,256 gb,unified,13 inch,new,37000000
https://api.torob.com/v4/base-product/details-log-click/?prk=a70f36eb-b544-4209-95d1-55d080c0090d,Core i3,12 gb,1 tb,256 gb,unified,15.6 inch,new,15600000
https://api.torob.com/v4/base-product/details-log-click/?prk=8bd8c3f7-ab30-40ca-84f6-b493e64b626e,Celeron,4 gb,1 tb,128 gb,unified,15.6 inch,new,8520000
https://api.torob.com/v4/base-product/details-log-click/?prk=f079490c-2d6c-483e-8f38-c1448a5ee222,Core i5,8 gb,,512 gb,4 gb,15.6 inch,new,29600000
https://api.torob.com/v4/base-product/details-log-click/?prk=09bf8196-62c3-4919-a1cd-354970d27fd9,Core i5,8 gb,,512 gb,4 gb,15.6 inch,new,36479000
https://api.torob.com/v4/base-product/details-log-click/?prk=bd41145f-e044-43a5-94a5-62212946c1a8,Core i7,16 gb,,512 gb,4 gb,15.6 inch,new,41569000
https://api.torob.com/v4/base-product/details-log-click/?prk=90015843-a603-4dfd-b8db-100c62c7192a,Core i5,8 gb,,256 gb,unified,12.4 inch,new,14800000
https://api.torob.com/v4/base-product/details-log-click/?prk=a5aacca8-e0cc-40a6-8572-984a174ef72c,M2,8 gb,,256 gb,unified,13.3 inch,new,59800000
https://api.torob.com/v4/base-product/details-log-click/?prk=969443f3-e9be-416f-9ffe-a4451a4c22db,Core i5,8 gb,1 tb,,2 gb,15.6 inch,new,21600000
https://api.torob.com/v4/base-product/details-log-click/?prk=0855d618-cf0b-4ff0-8c8f-5edb54bbeeee,Core i7,16 gb,,512 gb,4 gb,16 inch,new,44500000
https://api.torob.com/v4/base-product/details-log-click/?prk=7c24e65f-021b-41fb-8d38-dc7088745735,Core i5,8 gb,,512 gb,2 gb,15.6 inch,new,24410000
https://api.torob.com/v4/base-product/details-log-click/?prk=933083cb-39b1-405f-a0fa-c300d22ca934,M2,8 gb,,256 gb,unified,13.6 inch,new,57000000
https://api.torob.com/v4/base-product/details-log-click/?prk=39f6b943-58d9-4567-965c-af5fe87116e7,Core i5,8 gb,,256 gb,unified,12 inch,stock,12900000
https://api.torob.com/v4/base-product/details-log-click/?prk=828fa09c-eaf5-4afe-84b8-6db1ffdf2dc2,M2,16 gb,,512 gb,unified,14 inch,new,98900000
https://api.torob.com/v4/base-product/details-log-click/?prk=1ac89213-bdba-4407-be2d-839ac23dbd14,Core i7,16 gb,,1 tb,6 gb,15.6 inch,new,56920000
https://api.torob.com/v4/base-product/details-log-click/?prk=c6b9a175-f516-42e3-b050-e89f4d9e8dc3,Celeron,4 gb,1 tb,,unified,15.6 inch,new,12500000
https://api.torob.com/v4/base-product/details-log-click/?prk=1c4f640b-f73a-4539-be55-118ba95eb499,Core i5,16 gb,,512 gb,4 gb,15.6 inch,new,34400000
https://api.torob.com/v4/base-product/details-log-click/?prk=fadf6ef2-ff15-4058-b150-f82cd0051ccf,Core i7,16 gb,,512 gb,4 gb,15.6 inch,stock,21900000
https://api.torob.com/v4/base-product/details-log-click/?prk=cd23b9ee-4e4a-4681-aee4-9df45a2f1667,Core i7,16 gb,,1 tb,6 gb,15.6 inch,new,57990000
https://api.torob.com/v4/base-product/details-log-click/?prk=7c8de4ce-76b4-414b-aa88-018e4a08be2c,Core i7,16 gb,,512 gb,8 gb,16 inch,new,79892000
https://api.torob.com/v4/base-product/details-log-click/?prk=b4f927a3-5314-44a1-90fc-0c11857e08ea,Core i5,16 gb,,512 gb,4 gb,15.6 inch,new,38000000
https://api.torob.com/v4/base-product/details-log-click/?prk=b8d5091f-b1c0-41a0-91ea-52350922a139,Core i7,16 gb,1 tb,256 gb,4 gb,15.6 inch,new,29220000
https://api.torob.com/v4/base-product/details-log-click/?prk=cb59095c-d110-4eb8-ba73-ab7f84577dbf,Ryzen 7,16 gb,,512 gb,4 gb,15.6 inch,new,44479000
https://api.torob.com/v4/base-product/details-log-click/?prk=a361efac-d55f-4a33-a081-11506ad21bae,Ryzen 7,16 gb,,1 tb,4 gb,15.6 inch,new,48200000
https://api.torob.com/v4/base-product/details-log-click/?prk=c5e43e41-7a11-4254-bb8e-834cc135614a,Core i5,8 gb,,512 gb,2 gb,15.6 inch,new,22700000
https://api.torob.com/v4/base-product/details-log-click/?prk=e27c4058-831a-405d-95a4-cb8f76b747f7,Celeron,4 gb,1 tb,,unified,15.6 inch,new,11000000
https://api.torob.com/v4/base-product/details-log-click/?prk=6c29e45a-208d-4133-99c3-5ffe8cb8bb66,Core i5,16 gb,,512 gb,4 gb,15.6 inch,new,33479000
https://api.torob.com/v4/base-product/details-log-click/?prk=a38ec8fb-10f9-44ca-ae78-2d68fa985c45,Core i7,32 gb,,1 tb,6 gb,16 inch,new,69600000
https://api.torob.com/v4/base-product/details-log-click/?prk=262bdda4-38df-4244-a045-09554dafad8e,Ryzen 7,8 gb,,256 gb,2 gb,15.6 inch,new,30400000
https://api.torob.com/v4/base-product/details-log-click/?prk=ae48d057-7e84-4d8b-9235-8258d7e223e4,Core i3,4 gb,1 tb,,unified,15.6 inch,new,13741000
https://api.torob.com/v4/base-product/details-log-click/?prk=9893d1e1-a06a-4405-95e4-e889d1eccf59,Ryzen 7,32 gb,,1 tb,6 gb,15.6 inch,new,61379000
https://api.torob.com/v4/base-product/details-log-click/?prk=55e88424-087f-46ee-9af0-aa66ed99f076,Core i5,8 gb,,512 gb,4 gb,15.6 inch,new,37200000
https://api.torob.com/v4/base-product/details-log-click/?prk=303a341e-e9c9-47f8-b6d7-1a0fe1405983,Core i7,8 gb,,512 gb,unified,15.6 inch,new,30150000
https://api.torob.com/v4/base-product/details-log-click/?prk=824e92cd-77b8-4fc4-9257-dd87134e1f01,M1,16 gb,,512 gb,unified,16 inch,new,92000000
https://api.torob.com/v4/base-product/details-log-click/?prk=67025998-d60a-40be-98e6-bf547e11ce35,M1,16 gb,,512 gb,unified,14 inch,new,87000000
https://api.torob.com/v4/base-product/details-log-click/?prk=aaf73906-503e-47ee-9b64-555a267e9de8,Core i5,16 gb,,1 tb,4 gb,15.6 inch,new,38799000
https://api.torob.com/v4/base-product/details-log-click/?prk=ee853774-4671-448c-a14e-a50f7de40b60,M2,8 gb,,256 gb,unified,13.6 inch,new,56400000
https://api.torob.com/v4/base-product/details-log-click/?prk=349a21ac-2850-4e3e-a7d9-3c64bc5fc82f,Core i7,16 gb,,512 gb,6 gb,16.1 inch,new,37200000
https://api.torob.com/v4/base-product/details-log-click/?prk=cf34eb85-34f2-4e45-8acf-5c292247cf19,Ryzen 3,8 gb,1 tb,,2 gb,15.6 inch,new,19700000
https://api.torob.com/v4/base-product/details-log-click/?prk=774b7028-3fbc-4f9d-9e30-063bfb7c67b6,Core i5,8 gb,,512 gb,unified,15.6 inch,new,22999000
https://api.torob.com/v4/base-product/details-log-click/?prk=3b9adef8-8dc2-4e04-99d5-5c79d0543c40,Core i7,16 gb,,1 tb,8 gb,15.6 inch,new,100000
https://api.torob.com/v4/base-product/details-log-click/?prk=d7555bb9-81d5-40d2-bdb1-8bce98b15138,Ryzen 7,16 gb,,1 tb,4 gb,15.6 inch,new,48479000
https://api.torob.com/v4/base-product/details-log-click/?prk=650beaf2-d046-49d2-8416-f1992253bcb4,Core i7,16 gb,,512 gb,4 gb,15.6 inch,new,49980000
https://api.torob.com/v4/base-product/details-log-click/?prk=362e6071-43fa-4efb-92e9-612083b5285b,Core i7,16 gb,,512 gb,2 gb,15.6 inch,new,32300000
https://api.torob.com/v4/base-product/details-log-click/?prk=897c0766-c947-450f-ba3c-cf5f0b3d4058,Core i7,16 gb,,512 gb,6 gb,15 inch,new,40500000
https://api.torob.com/v4/base-product/details-log-click/?prk=c285ac42-95a0-4cf2-abb5-403746646d33,Core i5,8 gb,,512 gb,2 gb,15.6 inch,new,23088820
https://api.torob.com/v4/base-product/details-log-click/?prk=5339d1f6-9f10-491e-a6e7-0c2d8be92410,M2,8 gb,,512 gb,unified,13.3 inch,new,70500000
https://api.torob.com/v4/base-product/details-log-click/?prk=b62e83da-19b6-4026-ad28-7c8372920c34,Celeron,4 gb,,128 gb,unified,11 inch,new,9890000
https://api.torob.com/v4/base-product/details-log-click/?prk=f194966b-95f1-4c60-a08d-a56cdede79e9,Core i5,16 gb,,512 gb,4 gb,15.6 inch,new,37399000
https://api.torob.com/v4/base-product/details-log-click/?prk=523373bc-d3b4-4a55-89a4-a6b398dee922,Core i3,8 gb,1 tb,256 gb,unified,15.6 inch,new,14579000
https://api.torob.com/v4/base-product/details-log-click/?prk=cf904f55-2ad6-4d95-9590-728651cdf7df,M1,8 gb,,256 gb,unified,13 inch,new,43599000
https://api.torob.com/v4/base-product/details-log-click/?prk=5da5f837-86f6-4f5d-8b33-89cfee3ef046,Core i7,16 gb,512 gb,512 gb,,,stock,26500000
https://api.torob.com/v4/base-product/details-log-click/?prk=05a72a8e-8a99-4dd5-9afa-0167a09fb7d8,Core i5,8 gb,,256 gb,unified,12 inch,stock,12900000
https://api.torob.com/v4/base-product/details-log-click/?prk=f3900240-cea3-4aa3-8154-65c972212270,Celeron,4 gb,1 tb,256 gb,unified,15.6 inch,new,8520000
https://api.torob.com/v4/base-product/details-log-click/?prk=01b94b2d-7025-4d2f-8dc8-596493e9524d,Core i5,16 gb,,1 tb,4 gb,15.6 inch,new,34890000
